127.0.0.1 - - [26/Jul/2023:19:08:08 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:09 +0530] "GET /SalesPipelineManagementSystem/ HTTP/1.1" 200 3836
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:09 +0530] "GET /SalesPipelineManagementSystem/images/company-logo.png HTTP/1.1" 200 8905
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:09 +0530] "GET /SalesPipelineManagementSystem/images/analytics.gif HTTP/1.1" 200 555722
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:09 +0530] "GET /SalesPipelineManagementSystem/CSS/indexpagestyle.css HTTP/1.1" 200 2070
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:09 +0530] "GET /SalesPipelineManagementSystem/images/420eaf34ce5e6aae43d607d61086c740.jpg HTTP/1.1" 200 464631
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:09 +0530] "GET /SalesPipelineManagementSystem/images/image-sales.jpg HTTP/1.1" 200 242271
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/login.jsp HTTP/1.1" 200 5582
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/CSS/loginpage.css HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/vendor/jquery/jquery.min.js HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/alert/dist/sweetalert.css HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/images/google.png HTTP/1.1" 404 806
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:18 +0530] "GET /SalesPipelineManagementSystem/images/undraw_data_reports_706v-removebg-preview.png HTTP/1.1" 200 31333
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "POST /SalesPipelineManagementSystem/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/welcome.jsp HTTP/1.1" 200 12837
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/CSS/welcomepage.css HTTP/1.1" 200 564
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/images/icons8-double-down.gif HTTP/1.1" 200 13760
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/images/icons8-right.gif HTTP/1.1" 200 74379
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/images/icons8-group-of-projects-100.png HTTP/1.1" 200 2159
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/images/icons8-approval-100.png HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/images/icons8-bonds-100.png HTTP/1.1" 200 1816
0:0:0:0:0:0:0:1 - - [26/Jul/2023:19:08:29 +0530] "GET /SalesPipelineManagementSystem/images/icons8-answers-100.png HTTP/1.1" 200 2030
